	...1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type
18	Schil_g16031	89.0838226854265	-2.09068674537609	0.354632567784711	-5.89536025536519	3.73864798615718e-09	3.40940576027946e-07	down
19	Schil_g17621	31.5825848666783	-2.21206195981566	0.507168737089573	-4.36158973936318	1.29120815986025e-05	0.00018164032297532	down
20	Schil_g17718	189.957222101824	-2.07036429675449	0.420527567511964	-4.9232546370354	8.51165799975422e-07	2.20756487755093e-05	down
21	Schil_g18149	124.57543502473	-2.10390312394367	0.461593577543197	-4.55791247170631	5.16645584772391e-06	8.9421861315401e-05	down
22	Schil_g18319	56.509290216644	-2.22674757354971	0.574068782962857	-3.87888636281027	0.00010493575758174	0.00096108008644794	down
23	Schil_g18347	434.486050552975	-2.01782923026314	0.371912384161018	-5.42554998488441	5.77763579506001e-08	2.60638984988851e-06	down
24	Schil_g18505	37.4620790618038	-2.13543159625291	0.379848837645912	-5.6217931572125	1.88985461242815e-08	1.14484692628594e-06	down
25	Schil_g1883	203.461951314701	-2.33421046664272	0.455375020450066	-5.12590801387331	2.96107159069723e-07	9.60338361785975e-06	down
26	Schil_g1916	135.826414884963	-2.02675731381968	0.434017624168743	-4.6697580949655	3.01554620675514e-06	5.8725252306522e-05	down
27	Schil_g195	62.9075032825444	-2.00046521061792	0.413472795533485	-4.83820273601509	1.3101846461518e-06	3.04013022818423e-05	down
28	Schil_g1959	688.78190041039	-2.06549601954486	0.455132438043928	-4.53823073657849	5.67281707342353e-06	9.60302626740619e-05	down
29	Schil_g19627	10.094761712259	-2.07520586769091	0.529018181131158	-3.92274961751534	8.75441168153747e-05	0.00083422657832718	down
30	Schil_g1964	54.4160364014027	-2.65582976856806	0.560859796701526	-4.73528283572342	2.18749822422795e-06	4.55827332670203e-05	down
31	Schil_g19684	93.3706614568205	-2.59078442941692	0.535071158593216	-4.8419437075033	1.28575192608318e-06	2.99573134206358e-05	down
32	Schil_g19732	98.4552012040138	-2.07846835509425	0.444791876373537	-4.67290089027783	2.96975093766898e-06	5.81673388045511e-05	down
33	Schil_g19826	28.9136727791563	-2.13022205558061	0.453258668388249	-4.69979330600672	2.60424939646649e-06	5.24000928385107e-05	down
34	Schil_g20139	57.6937192731461	-2.14409539575729	0.52441094357141	-4.08857866534078	4.34024364262383e-05	0.00047576518137728	down
35	Schil_g20244	24.881064121406	-2.22728636331057	0.568206387142477	-3.91985449954487	8.86024443769117e-05	0.00084289100477912	down
36	Schil_g20567	79.2575438204935	-2.19065753843822	0.477439643322822	-4.5883444516504	4.46775021207279e-06	7.96866236563393e-05	down
37	Schil_g20877	111.783368348141	-2.50919755027584	0.570225842901557	-4.40035747504525	1.08072692107094e-05	0.00015789224836524	down
38	Schil_g20917	668.656063988427	-2.35379318065695	0.462276209924569	-5.0917462982597	3.54780618601925e-07	1.11029314625938e-05	down
39	Schil_g20934	429.860030446876	-2.21193271373053	0.541716860593459	-4.08318971520901	4.44217288598718e-05	0.00048455393242517	down
40	Schil_g21122	484.523268395056	-2.15904123920162	0.428637208575071	-5.03698978065616	4.72910018606636e-07	1.38540582652949e-05	down
41	Schil_g21204	72.0623968252168	-2.60660142544496	0.729887636712711	-3.57123657715953	0.00035529978136637	0.00255147963231857	down
42	Schil_g21278	440.71508198219	-2.0830350284997	0.478587394856488	-4.35246529868246	1.34615184190631e-05	0.00018720626989039	down
43	Schil_g21295	70.0133204576354	-2.39759893102724	0.502989904729163	-4.76669394054386	1.87273458846628e-06	4.04653810058154e-05	down
44	Schil_g21548	313.803270895554	-2.53275864313068	0.51368610106364	-4.93055708123373	8.19954526479732e-07	2.14962421609725e-05	down
45	Schil_g21599	26.5838689826158	-2.06365376652093	0.509059146343468	-4.05385853754715	5.03796886667679e-05	0.00053638163394658	down
46	Schil_g21866	523.883859541615	-2.17186409072545	0.452875548522264	-4.79571948146077	1.6209198203575e-06	3.62718232096358e-05	down
47	Schil_g2200	85.2339109521927	-2.20547287334742	0.367519126051471	-6.00097441741997	1.96136894631641e-09	2.05362593008759e-07	down
48	Schil_g22004	47.8563417283729	-2.04613894346058	0.628363278520682	-3.25629936281077	0.00112874673389105	0.00637377662590324	down
49	Schil_g22149	40.1740417868219	-2.11824939859483	0.553356197344467	-3.82800338870374	0.00012918697829435	0.00113773080261099	down
50	Schil_g22151	93.4372199221987	-2.14362598965193	0.535882417482281	-4.0001797404051	6.32943915587727e-05	0.00064557995767883	down
51	Schil_g23322	1048.61942771127	-3.19679653995439	0.638761580555523	-5.00467879920732	5.59552537967429e-07	1.58714550986681e-05	down
52	Schil_g23458	59.902400225784	-2.48084666905152	0.520182053291667	-4.76918927393387	1.84968809564944e-06	4.00183794367421e-05	down
53	Schil_g23916	203.82583256837	-2.09699478772115	0.545450274583363	-3.84452054648414	0.00012078836499933	0.00107775499585412	down
54	Schil_g23933	78.385534956489	-2.33304868405517	0.465559596136313	-5.01127826258374	5.40696621061969e-07	1.54398924014362e-05	down
55	Schil_g24234	88.5610720576068	-2.59394605019968	0.560287666569441	-4.62966830250258	3.66251941172486e-06	6.8493554864032e-05	down
56	Schil_g24236	39.7095377625769	-2.3170022174066	0.489668047324133	-4.73178152029363	2.2255788420647e-06	4.63193476307992e-05	down
57	Schil_g2444	151.352380326545	-2.03265333057734	0.487750436172026	-4.16740443438669	3.08087605748748e-05	0.00036365914883161	down
58	Schil_g24488	695.45997522708	-2.07783852279457	0.52404038389812	-3.96503511301627	7.33851437694712e-05	0.0007270787433515	down
59	Schil_g24520	155.764810094579	-2.01465222661002	0.357658409688868	-5.63289488526944	1.77209477417991e-08	1.09701721020583e-06	down
60	Schil_g24712	139.446104294738	-2.42971996193295	0.504269587769667	-4.81829565149734	1.44789713887404e-06	3.30097194483621e-05	down
61	Schil_g24859	163.877762798869	-2.33464946728695	0.416999418812868	-5.5986875807485	2.1598062093117e-08	1.25032876868072e-06	down
62	Schil_g25111	191.388372703584	-2.20033401140391	0.502100125348954	-4.38226142619403	1.17453751945987e-05	0.00016840663909618	down
63	Schil_g25429	467.739045702256	-2.05820677636177	0.507730977686711	-4.05373488483849	5.04063391410719e-05	0.00053638163394658	down
64	Schil_g26170	10.7793624630835	-2.13546936119889	0.587212200369193	-3.63662294457824	0.00027623582708294	0.00208523012860744	down
65	Schil_g26393	190.702645112719	-2.11202475668778	0.431256194082127	-4.89737836967874	9.71237136061979e-07	2.42266533851225e-05	down
66	Schil_g27432	399.248495829261	-2.1016459381799	0.490970239773931	-4.28059741288517	1.86392276758481e-05	0.00024451552965022	down
67	Schil_g27680	1273.30007053371	-2.12858086963945	0.403296287212299	-5.27795801035715	1.30631387854098e-07	5.02503314427317e-06	down
68	Schil_g27783	58.3005188489739	-2.05045450728654	0.463354017544706	-4.42524383008874	9.63334116672422e-06	0.00014434693716429	down
69	Schil_g27891	206.651080577981	-2.01568036081965	0.515490581514804	-3.91021763171004	9.22130005004438e-05	0.00087088915060608	down
70	Schil_g280	94.6174542506138	-2.02370623595807	0.392323675997632	-5.15825671446423	2.49259712638578e-07	8.50692805991059e-06	down
71	Schil_g28173	75.0115227072185	-2.46829396328139	0.442480901271387	-5.57830621884291	2.42871832814116e-08	1.37778997598429e-06	down
72	Schil_g28512	254.645729255506	-2.01034320204133	0.363290754570891	-5.53370317506672	3.13539403305178e-08	1.6928576720846e-06	down
73	Schil_g31174	211.245455700335	-2.17905106197624	0.51482596341946	-4.23259745391053	2.31007760637958e-05	0.00029046357568132	down
74	Schil_g31270	117.62359381611	-2.14177347616332	0.468380369641684	-4.57272254557081	4.81427452154008e-06	8.42255192615052e-05	down
75	Schil_g31290	147.33355349845	-2.35057091142403	0.362239465332218	-6.48899729704566	8.64095167079327e-11	2.32647336888882e-08	down
76	Schil_g31298	52.0832099239383	-2.11162167670944	0.540882387284158	-3.9040311283053	9.46036050036811e-05	0.00088802786279603	down
77	Schil_g31299	57.5218076582209	-2.18039288738097	0.501842113125985	-4.3447786272843	1.39416185323139e-05	0.00019257144425497	down
78	Schil_g31402	442.326605989586	-2.16581188637882	0.35802723169491	-6.04929372585938	1.45482204011249e-09	1.61285564996e-07	down
79	Schil_g33264	50.6422601261037	-2.13269781193542	0.436812119247682	-4.88241447057044	1.04794697872662e-06	2.54512314588216e-05	down
80	Schil_g33345	850.420909541004	-2.44656645490431	0.447735398686402	-5.46431321285345	4.64702401702523e-08	2.24566442668894e-06	down
81	Schil_g33346	125.534904604834	-2.63939996458421	0.597932248014126	-4.41421243518857	1.01378372547483e-05	0.00015031293314251	down
82	Schil_g33403	284.838857962208	-2.30332123783317	0.535529410367788	-4.30101726112728	1.70015814614614e-05	0.00022618103901906	down
83	Schil_g33463	15.7962204647538	-2.10103794098265	0.497392627933121	-4.22410350091709	2.39893790604892e-05	0.00029853840618049	down
84	Schil_g33666	112.353372346483	-2.28398271978637	0.712973630229769	-3.20346030055882	0.00135786759696951	0.00734043073448263	down
85	Schil_g33775	398.606570379761	-2.34620942763114	0.549473036529671	-4.26992640521397	1.95537478108496e-05	0.00025357084890491	down
86	Schil_g35018	142.60036676837	-2.03782930968651	0.445929956936411	-4.56984169371942	4.88092765166254e-06	8.49131229e-05	down
87	Schil_g35103	211.538912459447	-2.15420023293185	0.348060414844784	-6.18915608053995	6.04871688642511e-10	8.62170889307082e-08	down
88	Schil_g35143	740.226181935473	-2.03692932944228	0.431312096131898	-4.72263437012295	2.32809172920018e-06	4.77498088400163e-05	down
89	Schil_g35579	1884.90362667804	-2.03835597465445	0.322716705532376	-6.31623941280584	2.68004756186691e-10	4.88806094025662e-08	down
90	Schil_g35859	251.317941208475	-2.07214467599357	0.415534493140436	-4.98669715799804	6.1420225586976e-07	1.69399978277445e-05	down
91	Schil_g36023	201.690566993701	-2.04081043694893	0.57104362197145	-3.57382581369757	0.00035180300781685	0.00253265486740628	down
92	Schil_g36162	811.232220744922	-2.08434499497662	0.509468534167046	-4.09121438360155	4.29120210704823e-05	0.00047177628540819	down
93	Schil_g36286	179.928028639976	-2.07868095430416	0.46351007065509	-4.48465111311673	7.30333331341739e-06	0.00011697746899167	down
94	Schil_g36538	138.001413718077	-2.02750434981749	0.59577894272448	-3.40311515634602	0.00066622194597002	0.00420332062272601	down
95	Schil_g36752	64.3234123840565	-2.06960269884055	0.402067569738883	-5.14740022475484	2.64121407637594e-07	8.88894308799378e-06	down
96	Schil_g38336	334.303199548141	-2.15636196864656	0.415013035070064	-5.19588973460198	2.03743003521491e-07	7.32179835960071e-06	down
97	Schil_g38405	14.3960328107206	-2.43665794489168	0.480108939250048	-5.07521886323934	3.87050233640966e-07	1.18933805489458e-05	down
98	Schil_g38703	422.009185514096	-2.25690587825741	0.571185144362108	-3.95126851693226	7.77380422090921e-05	0.00076131216625324	down
99	Schil_g38832	5.20796261668184	-2.06544397574855	0.635129371169072	-3.25200513392526	0.0011459395197364	0.00644904649428296	down
100	Schil_g38834	15.7755845688784	-2.01442598035224	0.567906006741784	-3.54711159318334	0.00038947957875601	0.00274236306137793	down
101	Schil_g40052	26.5967123385187	-2.24366068437688	0.374836507258467	-5.98570480977665	2.15454814909326e-09	2.21487549726787e-07	down
